date,description,amount,gst_rate,vendor_state,business_state,amount_inclusive_gst,eligible_itc,category
2024-06-27,PINV-06-00063 Himalaya Foods Supply purchase expense,78120.0,12,KA,KA,false,true,purchase
2024-06-05,PINV-06-00064 Royal Insurance Brokers purchase expense,82670.82,0,TS,KA,false,true,purchase
2024-04-09,PINV-04-00065 Crystal Print House travel expense,14893.47,5,DL,KA,false,true,travel
2024-04-27,PINV-04-00066 LightSpeed Internet purchase expense,61721.39,18,DL,KA,false,true,purchase
2025-03-05,PINV-03-00067 Royal Insurance Brokers travel expense,9713.27,18,TS,KA,false,true,travel
2025-02-20,PINV-02-00068 Pioneer Chemicals purchase expense,10071.98,12,GJ,KA,false,true,purchase
2024-07-03,PINV-07-00069 Insight Marketing LLP purchase expense,52178.66,12,TN,KA,true,true,purchase
2024-06-18,PINV-06-00070 Pioneer Chemicals office expense expense,83206.13,12,MH,KA,true,true,office_expense
2024-09-10,PINV-09-00071 TruEdge Consulting purchase expense,78737.47,18,TN,KA,true,true,purchase
2024-12-30,PINV-12-00072 Jai Stationers food expense,73077.94,18,MH,KA,true,false,food
2025-02-16,PINV-02-00073 Global Tech Tools travel expense,8961.75,18,MH,KA,true,true,travel
2024-05-14,PINV-05-00074 Crystal Print House rent expense,39571.15,0,DL,KA,false,false,rent
2025-03-19,PINV-03-00075 Royal Insurance Brokers software expense,62149.64,18,KA,KA,true,true,software
2024-11-19,PINV-11-00076 Bharat Transport Co marketing expense,59322.5,18,MH,KA,false,true,marketing
2025-02-01,PINV-02-00077 Eco Power Utilities software expense,62667.36,18,DL,KA,true,true,software
2024-07-01,PINV-07-00078 TruEdge Consulting purchase expense,76994.83,18,MH,KA,true,true,purchase
2024-06-29,PINV-06-00079 Eco Power Utilities marketing expense,75424.57,18,GJ,KA,true,true,marketing
2024-11-19,PINV-11-00080 FirstFleet Logistics purchase expense,28492.92,12,TN,KA,true,true,purchase
2024-06-30,PINV-06-00081 Mohan Industrial Gases office expense expense,23044.4,18,TN,KA,false,true,office_expense
2024-07-08,PINV-07-00082 Global Tech Tools food expense,46416.68,0,DL,KA,false,true,food
2024-09-02,PINV-09-00083 Omkar Repairs marketing expense,26736.65,18,TN,KA,false,true,marketing
2024-12-17,PINV-12-00084 TruEdge Consulting utilities expense,26775.42,12,MH,KA,true,true,utilities
2024-04-06,PINV-04-00085 LightSpeed Internet office expense expense,48974.68,12,GJ,KA,true,true,office_expense
2024-09-08,PINV-09-00086 Global Tech Tools loan expense,26866.63,18,TN,KA,true,false,loan
2025-02-19,PINV-02-00087 Global Tech Tools purchase expense,74697.04,18,DL,KA,true,true,purchase
2024-07-04,PINV-07-00088 Omkar Repairs rent expense,80008.05,18,MH,KA,true,false,rent
2024-04-09,PINV-04-00089 Nexa Facility Services purchase expense,52283.12,12,GJ,KA,true,true,purchase
2024-06-08,PINV-06-00090 Apex Packaging Works office expense expense,93125.61,18,DL,KA,true,true,office_expense
2024-05-30,PINV-05-00091 Crystal Print House purchase expense,93273.01,18,KA,KA,true,true,purchase
2024-06-17,PINV-06-00092 SmartCloud Software purchase expense,70746.68,18,TN,KA,true,true,purchase
2024-08-04,PINV-08-00093 Omkar Repairs office expense expense,65270.6,18,GJ,KA,true,true,office_expense
2024-08-30,PINV-08-00094 FirstFleet Logistics purchase expense,32806.83,12,GJ,KA,true,true,purchase
2024-04-14,PINV-04-00095 Royal Insurance Brokers purchase expense,64951.68,5,GJ,KA,true,true,purchase
2024-04-21,PINV-04-00096 Bharat Transport Co purchase expense,85565.44,18,MH,KA,true,true,purchase
2024-05-03,PINV-05-00097 Crystal Print House purchase expense,84829.1,5,KA,KA,true,true,purchase
2024-10-08,PINV-10-00098 Jai Stationers utilities expense,12555.55,18,MH,KA,true,true,utilities
2024-11-09,PINV-11-00099 Royal Insurance Brokers software expense,34842.63,18,KA,KA,false,true,software
2025-01-24,PINV-01-00100 Delta Office Systems utilities expense,51766.61,12,DL,KA,true,true,utilities
2024-06-08,PINV-06-00101 Apex Packaging Works purchase expense,54843.54,12,TN,KA,true,true,purchase
2024-11-13,PINV-11-00102 QuickFix Maintenance utilities expense,52912.91,18,TN,KA,true,true,utilities
2025-02-21,PINV-02-00103 Mohan Industrial Gases purchase expense,75473.62,18,KA,KA,true,true,purchase
2025-01-31,PINV-01-00104 Nexa Facility Services food expense,59201.77,5,TN,KA,true,false,food
2024-06-14,PINV-06-00105 FirstFleet Logistics purchase expense,28153.11,5,DL,KA,true,true,purchase
2024-06-23,PINV-06-00106 TruEdge Consulting purchase expense,86837.34,5,TN,KA,true,true,purchase
2024-12-18,PINV-12-00107 SmartCloud Software loan expense,12482.77,18,MH,KA,true,false,loan
2024-10-26,PINV-10-00108 SmartCloud Software office expense expense,28874.61,18,KA,KA,true,true,office_expense
2025-02-28,PINV-02-00109 FirstFleet Logistics utilities expense,65963.96,5,MH,KA,true,true,utilities
2024-11-08,PINV-11-00110 Nexa Facility Services software expense,75097.04,18,KA,KA,true,true,software
2024-04-03,PINV-04-00111 LightSpeed Internet rent expense,54738.34,18,KA,KA,true,false,rent
2024-04-02,PINV-04-00112 Kuber Warehousing office expense expense,18187.44,12,GJ,KA,true,true,office_expense
2024-07-30,PINV-07-00113 Royal Insurance Brokers food expense,56113.76,18,GJ,KA,true,false,food
2024-06-27,PINV-06-00114 SmartCloud Software loan expense,39002.34,0,TN,KA,false,false,loan
2024-11-10,PINV-11-00115 Himalaya Foods Supply marketing expense,47776.88,5,GJ,KA,false,true,marketing
2025-02-07,PINV-02-00116 Mohan Industrial Gases office expense expense,18282.35,18,TN,KA,false,true,office_expense
2024-05-13,PINV-05-00117 QuickFix Maintenance purchase expense,54086.68,0,TN,KA,false,true,purchase
2024-06-30,PINV-06-00118 Mohan Industrial Gases travel expense,47470.17,5,KA,KA,false,true,travel
2024-04-01,PINV-04-00119 Crystal Print House purchase expense,79643.32,18,MH,KA,true,true,purchase
2025-02-06,PINV-02-00120 Eco Power Utilities purchase expense,43778.93,18,DL,KA,false,true,purchase
2024-07-05,PINV-07-00121 Omkar Repairs food expense,7675.43,18,TS,KA,true,false,food
2025-03-25,PINV-03-00122 Apex Packaging Works software expense,50166.64,18,KA,KA,true,true,software
2024-11-03,PINV-11-00123 LightSpeed Internet tax payment expense,54396.58,5,TS,KA,false,false,tax_payment
2024-08-15,PINV-08-00124 Himalaya Foods Supply loan expense,47603.62,18,TN,KA,true,false,loan
2024-12-14,PINV-12-00125 Delta Office Systems software expense,58724.76,18,MH,KA,true,true,software
2025-01-03,PINV-01-00126 Jai Stationers software expense,74038.81,18,TS,KA,true,true,software
2024-06-17,PINV-06-00127 Mohan Industrial Gases software expense,82696.21,18,MH,KA,true,true,software
2025-02-08,PINV-02-00128 LightSpeed Internet utilities expense,28323.78,0,GJ,KA,false,true,utilities
2024-12-16,PINV-12-00129 SmartCloud Software utilities expense,35375.59,18,DL,KA,true,true,utilities
2025-03-10,PINV-03-00130 Nexa Facility Services office expense expense,38435.5,0,MH,KA,false,true,office_expense
2025-01-22,PINV-01-00131 TruEdge Consulting purchase expense,45942.45,12,TN,KA,true,true,purchase
2024-11-03,PINV-11-00132 SmartCloud Software rent expense,73094.08,12,KA,KA,true,false,rent
2025-01-13,PINV-01-00133 Apex Packaging Works utilities expense,31772.75,18,DL,KA,true,true,utilities
2025-01-12,PINV-01-00134 LightSpeed Internet office expense expense,29521.47,18,GJ,KA,true,true,office_expense
2024-07-09,PINV-07-00135 TruEdge Consulting tax payment expense,12544.86,18,TN,KA,true,false,tax_payment
2024-12-22,PINV-12-00136 Kuber Warehousing purchase expense,54460.82,18,TN,KA,true,true,purchase
2024-08-28,PINV-08-00137 SmartCloud Software utilities expense,27683.91,12,MH,KA,false,true,utilities
2025-03-06,PINV-03-00138 QuickFix Maintenance tax payment expense,33718.14,18,KA,KA,true,true,tax_payment
2024-06-23,PINV-06-00139 Mohan Industrial Gases purchase expense,40644.04,18,GJ,KA,true,true,purchase
2024-05-02,PINV-05-00140 Apex Packaging Works tax payment expense,48303.09,5,MH,KA,true,false,tax_payment
2024-04-01,PINV-04-00141 Royal Insurance Brokers marketing expense,20199.4,18,KA,KA,true,true,marketing
2024-09-16,PINV-09-00142 Pioneer Chemicals purchase expense,55907.53,18,TS,KA,true,true,purchase
2024-11-29,PINV-11-00143 Insight Marketing LLP tax payment expense,11896.35,18,MH,KA,true,true,tax_payment
2024-04-08,PINV-04-00144 Eco Power Utilities rent expense,38058.26,18,KA,KA,true,false,rent
2025-03-14,PINV-03-00145 LightSpeed Internet food expense,41295.63,18,GJ,KA,true,true,food
2024-09-30,PINV-09-00146 Global Tech Tools purchase expense,36760.74,18,GJ,KA,true,true,purchase
2024-08-12,PINV-08-00147 SmartCloud Software purchase expense,46566.16,18,DL,KA,false,true,purchase
2024-11-08,PINV-11-00148 Omkar Repairs utilities expense,48865.72,18,KA,KA,true,true,utilities
2025-03-01,PINV-03-00149 Delta Office Systems utilities expense,74792.06,5,KA,KA,false,true,utilities
2024-05-28,PINV-05-00150 Global Tech Tools travel expense,13566.4,18,DL,KA,true,true,travel
2024-09-03,PINV-09-00151 Insight Marketing LLP purchase expense,5694.3,18,TS,KA,true,true,purchase
2024-09-23,PINV-09-00152 Nexa Facility Services utilities expense,82352.57,18,DL,KA,true,true,utilities
2024-04-20,PINV-04-00153 Mohan Industrial Gases purchase expense,10990.28,18,GJ,KA,false,true,purchase
2025-01-31,PINV-01-00154 Nexa Facility Services marketing expense,79338.38,0,MH,KA,false,true,marketing
2024-07-02,PINV-07-00155 Delta Office Systems office expense expense,21565.73,12,TS,KA,true,true,office_expense
2024-08-29,PINV-08-00156 Omkar Repairs loan expense,26952.01,12,DL,KA,false,false,loan
2025-03-17,PINV-03-00157 Kuber Warehousing software expense,39718.09,5,MH,KA,true,true,software
2024-12-30,PINV-12-00158 Himalaya Foods Supply purchase expense,9508.24,18,DL,KA,true,true,purchase
2024-09-26,PINV-09-00159 Global Tech Tools purchase expense,86639.45,18,KA,KA,true,true,purchase
2024-08-06,PINV-08-00160 Mohan Industrial Gases purchase expense,8859.7,5,TS,KA,false,true,purchase
2024-11-28,PINV-11-00161 Himalaya Foods Supply rent expense,64039.96,18,DL,KA,true,false,rent
2024-12-31,PINV-12-00162 Royal Insurance Brokers food expense,56364.36,18,DL,KA,true,false,food
2024-06-27,PINV-06-00163 FirstFleet Logistics utilities expense,65285.08,12,TS,KA,true,true,utilities
2024-09-08,PINV-09-00164 Delta Office Systems software expense,33819.47,18,KA,KA,true,true,software
2024-11-16,PINV-11-00165 Crystal Print House purchase expense,53734.83,18,DL,KA,true,true,purchase
2024-09-05,PINV-09-00166 TruEdge Consulting purchase expense,31798.73,18,DL,KA,true,true,purchase
2025-02-21,PINV-02-00167 Global Tech Tools software expense,37934.6,0,TS,KA,false,true,software
2024-08-30,PINV-08-00168 Delta Office Systems tax payment expense,13191.35,18,GJ,KA,true,false,tax_payment
2024-11-22,PINV-11-00169 Global Tech Tools purchase expense,61046.47,18,MH,KA,true,true,purchase
2024-12-07,PINV-12-00170 QuickFix Maintenance utilities expense,12242.19,5,KA,KA,true,true,utilities
2024-05-06,PINV-05-00171 Global Tech Tools purchase expense,78165.62,18,TN,KA,false,true,purchase
2024-04-20,PINV-04-00172 QuickFix Maintenance travel expense,15871.92,18,KA,KA,false,true,travel
2024-09-28,PINV-09-00173 FirstFleet Logistics travel expense,2008.06,18,TN,KA,false,true,travel
2024-07-04,PINV-07-00174 Kuber Warehousing office expense expense,12815.75,12,TN,KA,true,true,office_expense
2024-09-15,PINV-09-00175 Global Tech Tools rent expense,41644.47,18,KA,KA,false,false,rent
2024-12-19,PINV-12-00176 SmartCloud Software marketing expense,65687.83,12,DL,KA,true,true,marketing
2024-10-13,PINV-10-00177 Pioneer Chemicals purchase expense,63405.31,18,GJ,KA,false,true,purchase
2024-10-21,PINV-10-00178 SmartCloud Software rent expense,20011.75,18,GJ,KA,false,false,rent
2025-01-20,PINV-01-00179 Insight Marketing LLP marketing expense,37234.97,18,DL,KA,false,true,marketing
2024-04-27,PINV-04-00180 TruEdge Consulting utilities expense,4282.96,18,KA,KA,true,true,utilities
2024-12-29,PINV-12-00181 TruEdge Consulting utilities expense,58515.52,18,MH,KA,true,true,utilities
2025-03-17,PINV-03-00182 Kuber Warehousing purchase expense,54843.28,18,GJ,KA,true,true,purchase
2024-08-27,PINV-08-00183 Jai Stationers purchase expense,24407.18,12,GJ,KA,false,true,purchase
2024-08-31,PINV-08-00184 TruEdge Consulting loan expense,67667.48,18,TN,KA,true,false,loan
2024-06-27,PINV-06-00185 Royal Insurance Brokers marketing expense,74094.63,12,TS,KA,true,true,marketing
2025-03-30,PINV-03-00186 SmartCloud Software software expense,94905.67,18,GJ,KA,true,true,software
2024-04-27,PINV-04-00187 FirstFleet Logistics purchase expense,59145.17,18,GJ,KA,true,true,purchase
2025-03-05,PINV-03-00188 Crystal Print House tax payment expense,52068.28,12,TN,KA,true,true,tax_payment
2024-05-12,PINV-05-00189 Omkar Repairs purchase expense,55836.75,12,DL,KA,true,true,purchase
2024-09-16,PINV-09-00190 Delta Office Systems loan expense,21797.05,18,GJ,KA,true,true,loan
2024-10-18,PINV-10-00191 QuickFix Maintenance purchase expense,20409.95,5,GJ,KA,true,true,purchase
2024-12-14,PINV-12-00192 Kuber Warehousing loan expense,12696.38,18,TN,KA,true,false,loan
2025-01-01,PINV-01-00193 Crystal Print House purchase expense,49505.48,18,KA,KA,false,true,purchase
2025-02-11,PINV-02-00194 SmartCloud Software office expense expense,10531.17,5,KA,KA,true,true,office_expense
2024-10-07,PINV-10-00195 Kuber Warehousing purchase expense,92845.3,18,MH,KA,true,true,purchase
2024-10-09,PINV-10-00196 Crystal Print House office expense expense,75036.48,18,KA,KA,true,true,office_expense
2024-11-24,PINV-11-00197 Apex Packaging Works loan expense,20714.09,18,TS,KA,true,false,loan
2024-06-02,PINV-06-00198 Delta Office Systems utilities expense,9308.94,18,GJ,KA,true,true,utilities
2024-06-04,PINV-06-00199 SmartCloud Software rent expense,62004.85,12,TS,KA,true,false,rent
2024-11-05,PINV-11-00200 Bharat Transport Co utilities expense,33858.86,18,KA,KA,true,true,utilities
2024-12-14,PINV-12-00201 Delta Office Systems purchase expense,83873.42,12,TS,KA,true,true,purchase
2024-11-23,PINV-11-00202 Global Tech Tools software expense,79357.43,18,GJ,KA,false,true,software
2024-12-11,PINV-12-00203 Global Tech Tools software expense,91896.11,18,TS,KA,true,true,software
2024-09-26,PINV-09-00204 QuickFix Maintenance food expense,25676.8,18,KA,KA,true,false,food
2025-03-27,PINV-03-00205 Apex Packaging Works office expense expense,82940.84,18,TN,KA,false,true,office_expense
2024-05-17,PINV-05-00206 LightSpeed Internet office expense expense,63820.1,12,DL,KA,true,true,office_expense
2024-10-15,PINV-10-00207 Mohan Industrial Gases purchase expense,19802.23,18,KA,KA,true,true,purchase
2024-05-22,PINV-05-00208 Mohan Industrial Gases purchase expense,65057.46,12,MH,KA,true,true,purchase
2024-12-17,PINV-12-00209 Himalaya Foods Supply travel expense,3738.95,5,GJ,KA,true,true,travel
2024-11-02,PINV-11-00210 Mohan Industrial Gases software expense,24749.25,12,KA,KA,true,true,software
2024-10-11,PINV-10-00211 Insight Marketing LLP purchase expense,68949.58,18,KA,KA,true,true,purchase
2025-02-14,PINV-02-00212 Omkar Repairs rent expense,85030.11,12,TS,KA,true,true,rent
2024-09-01,PINV-09-00213 Nexa Facility Services tax payment expense,32482.96,0,GJ,KA,false,false,tax_payment
2025-01-05,PINV-01-00214 Apex Packaging Works purchase expense,2234.02,18,TN,KA,true,true,purchase
2024-07-16,PINV-07-00215 Nexa Facility Services purchase expense,87678.69,18,DL,KA,true,true,purchase
2025-03-13,PINV-03-00216 Insight Marketing LLP travel expense,58670.98,18,MH,KA,true,true,travel
2024-04-12,PINV-04-00217 SmartCloud Software software expense,42787.99,18,TS,KA,true,true,software
2025-03-04,PINV-03-00218 TruEdge Consulting office expense expense,1771.37,18,GJ,KA,true,true,office_expense
2024-12-31,PINV-12-00219 Insight Marketing LLP rent expense,65328.85,18,DL,KA,false,false,rent
2024-05-28,PINV-05-00220 Himalaya Foods Supply tax payment expense,46254.03,18,TN,KA,false,false,tax_payment
2024-06-03,PINV-06-00221 Omkar Repairs purchase expense,57732.29,5,GJ,KA,true,true,purchase
2025-01-12,PINV-01-00222 Delta Office Systems loan expense,71520.24,18,KA,KA,false,false,loan
2024-07-13,PINV-07-00223 Jai Stationers rent expense,64888.56,18,MH,KA,false,false,rent
2025-01-06,PINV-01-00224 Pioneer Chemicals travel expense,96522.69,18,MH,KA,true,true,travel
2024-07-19,PINV-07-00225 Mohan Industrial Gases purchase expense,2792.92,18,MH,KA,true,true,purchase
2024-04-05,PINV-04-00226 TruEdge Consulting purchase expense,94572.6,18,GJ,KA,true,true,purchase
2025-02-21,PINV-02-00227 Nexa Facility Services rent expense,12497.76,5,MH,KA,true,false,rent
2024-04-21,PINV-04-00228 Insight Marketing LLP purchase expense,86689.25,18,KA,KA,true,true,purchase
2025-02-07,PINV-02-00229 Bharat Transport Co food expense,44689.07,12,KA,KA,true,false,food
2024-04-11,PINV-04-00230 Bharat Transport Co food expense,59912.33,18,MH,KA,true,false,food
2024-06-21,PINV-06-00231 Insight Marketing LLP software expense,84497.22,18,KA,KA,true,true,software
2025-02-13,PINV-02-00232 Pioneer Chemicals food expense,81208.18,12,DL,KA,false,false,food
2025-01-04,PINV-01-00233 Omkar Repairs purchase expense,56595.34,18,TN,KA,true,true,purchase
2024-08-09,PINV-08-00234 SmartCloud Software software expense,32473.68,5,DL,KA,false,true,software
2024-06-13,PINV-06-00235 FirstFleet Logistics purchase expense,84882.78,12,MH,KA,true,true,purchase
2024-06-28,PINV-06-00236 Nexa Facility Services purchase expense,62907.7,18,DL,KA,true,true,purchase
2024-10-13,PINV-10-00237 QuickFix Maintenance travel expense,22687.16,18,MH,KA,true,true,travel
2025-01-05,PINV-01-00238 Mohan Industrial Gases travel expense,5900.39,18,KA,KA,false,true,travel
2024-04-17,PINV-04-00239 TruEdge Consulting purchase expense,33959.41,18,TS,KA,false,true,purchase
2024-06-09,PINV-06-00240 Crystal Print House utilities expense,85592.8,5,KA,KA,true,true,utilities
2024-09-21,PINV-09-00241 Omkar Repairs travel expense,6969.02,12,MH,KA,true,true,travel
2024-09-18,PINV-09-00242 SmartCloud Software rent expense,39864.89,0,KA,KA,false,false,rent
2025-03-02,PINV-03-00243 Omkar Repairs purchase expense,18311.45,0,GJ,KA,false,true,purchase
2024-04-22,PINV-04-00244 QuickFix Maintenance travel expense,33869.23,0,KA,KA,false,true,travel
2024-04-13,PINV-04-00245 Insight Marketing LLP purchase expense,77900.2,18,KA,KA,true,true,purchase
2024-12-10,PINV-12-00246 Delta Office Systems utilities expense,99589.02,18,KA,KA,true,true,utilities
2024-11-19,PINV-11-00247 Insight Marketing LLP purchase expense,98643.73,18,MH,KA,true,true,purchase
2024-09-02,PINV-09-00248 Jai Stationers marketing expense,14443.44,18,KA,KA,true,true,marketing
2025-02-26,PINV-02-00249 Mohan Industrial Gases purchase expense,21492.43,12,KA,KA,true,true,purchase
2024-06-12,PINV-06-00250 Apex Packaging Works utilities expense,70191.94,12,TN,KA,false,true,utilities
2024-07-02,PINV-07-00251 Mohan Industrial Gases office expense expense,17329.75,5,DL,KA,true,true,office_expense
2024-09-09,PINV-09-00252 Delta Office Systems purchase expense,35472.13,0,GJ,KA,false,true,purchase
2024-09-01,PINV-09-00253 Royal Insurance Brokers purchase expense,12423.88,18,TS,KA,false,true,purchase
2024-10-01,PINV-10-00254 SmartCloud Software utilities expense,4305.24,0,GJ,KA,false,true,utilities
2025-03-08,PINV-03-00255 Delta Office Systems purchase expense,49924.86,18,MH,KA,false,true,purchase
2024-11-07,PINV-11-00256 Royal Insurance Brokers marketing expense,70943.19,18,GJ,KA,true,true,marketing
2024-10-29,PINV-10-00257 Insight Marketing LLP travel expense,74844.13,18,TS,KA,false,true,travel
2024-11-02,PINV-11-00258 Eco Power Utilities purchase expense,6861.55,12,GJ,KA,true,true,purchase
2024-08-16,PINV-08-00259 Jai Stationers travel expense,63983.08,0,TS,KA,false,true,travel
2025-01-11,PINV-01-00260 Crystal Print House rent expense,3925.93,0,MH,KA,false,true,rent
2024-05-14,PINV-05-00261 Nexa Facility Services purchase expense,49073.31,0,GJ,KA,false,true,purchase
2024-07-13,PINV-07-00262 Mohan Industrial Gases office expense expense,14059.07,18,DL,KA,true,true,office_expense
2024-07-27,PINV-07-00263 Insight Marketing LLP utilities expense,23861.11,18,KA,KA,false,true,utilities
2024-12-15,PINV-12-00264 FirstFleet Logistics purchase expense,53605.4,18,TN,KA,true,true,purchase
2024-07-05,PINV-07-00265 Eco Power Utilities food expense,6723.93,0,TN,KA,false,false,food
2025-03-18,PINV-03-00266 Eco Power Utilities marketing expense,28757.92,12,MH,KA,false,true,marketing
2024-04-02,PINV-04-00267 Bharat Transport Co purchase expense,32784.5,18,TS,KA,false,true,purchase
2024-10-24,PINV-10-00268 Omkar Repairs purchase expense,1604.69,0,GJ,KA,false,true,purchase
2025-01-16,PINV-01-00269 Crystal Print House purchase expense,68099.32,0,KA,KA,false,true,purchase
2024-10-14,PINV-10-00270 SmartCloud Software loan expense,82540.43,18,TN,KA,true,false,loan
