date,description,debit,credit,gst_rate,vendor_state,business_state,eligible_itc,category
2024-12-02,NEFT CR Sunrise Superstore invoice receipt 01191,,29081.06,18,MH,KA,false,sales
2024-07-24,UPI DR Mohan Industrial Gases purchase payment 00573,74624.78,,18,TN,KA,true,purchase
2024-04-27,UPI DR Nexa Facility Services purchase payment 00152,73852.27,,18,GJ,KA,true,purchase
2025-03-15,SAVINGS INTEREST CREDIT 0007,,1012.34,0,KA,KA,false,interest
2024-07-09,SAVINGS INTEREST CREDIT 0117,,586.53,0,KA,KA,false,interest
2024-11-29,SELF TRANSFER TO CASH MANAGEMENT 0163,18658.36,,0,KA,KA,false,transfer
2025-02-05,NEFT CR QuickShop Chain invoice receipt 01163,,48325.21,18,GJ,KA,false,sales
2024-05-22,NEFT CR CityMed Distributors invoice receipt 00626,,50767.76,18,MH,KA,false,sales
2024-06-14,SAVINGS INTEREST CREDIT 0229,,636.41,0,KA,KA,false,interest
2024-05-05,NEFT CR Indus Office Supplies invoice receipt 00858,,31475.38,18,DL,KA,false,sales
2024-12-08,UPI DR Kuber Warehousing marketing payment 00733,83678.1,,0,MH,KA,true,marketing
2025-02-12,SAVINGS INTEREST CREDIT 0091,,1486.42,0,KA,KA,false,interest
2024-09-22,UPI DR Mohan Industrial Gases purchase payment 00437,19400.45,,0,TN,KA,true,purchase
2025-01-17,NEFT CR Nova Wellness invoice receipt 00837,,109708.58,18,DL,KA,false,sales
2024-08-30,NEFT CR Evergreen Stores invoice receipt 01210,,57673.07,0,GJ,KA,false,sales
2024-08-26,NEFT CR Orbit Fashion House invoice receipt 01013,,72553.68,18,GJ,KA,false,sales
2024-05-20,UPI DR Delta Office Systems travel payment 00985,44753.36,,18,GJ,KA,true,travel
2025-03-06,SELF TRANSFER TO CASH MANAGEMENT 0041,7724.96,,0,KA,KA,false,transfer
2024-09-16,UPI DR FirstFleet Logistics food payment 00911,62196.51,,18,MH,KA,false,food
2024-07-27,NEFT CR Nova Wellness invoice receipt 01382,,8047.64,18,GJ,KA,false,sales
2024-04-07,NEFT CR Lotus Enterprises invoice receipt 01123,,119415.31,18,GJ,KA,false,sales
2024-05-21,SELF TRANSFER TO CASH MANAGEMENT 0060,6366.72,,0,KA,KA,false,transfer
2024-12-06,UPI DR Mohan Industrial Gases purchase payment 01023,27943.55,,18,TS,KA,true,purchase
2024-04-08,UPI DR Apex Packaging Works software payment 00721,20461.06,,18,DL,KA,true,software
2024-09-10,UPI DR Himalaya Foods Supply tax payment payment 01171,40528.28,,0,MH,KA,false,tax_payment
2025-03-01,NEFT CR Acme Retail Pvt Ltd invoice receipt 01034,,38475.4,18,TN,KA,false,sales
2024-10-18,NEFT CR Kite Logistics invoice receipt 00988,,65478.37,18,MH,KA,false,sales
2024-10-21,UPI DR Pioneer Chemicals travel payment 00165,14709.52,,0,KA,KA,true,travel
2024-08-03,UPI DR Jai Stationers purchase payment 00455,20334.44,,0,MH,KA,true,purchase
2024-05-26,UPI DR Eco Power Utilities travel payment 00421,56708.07,,18,MH,KA,true,travel
2024-11-15,NEFT CR Riverfront Wholesale invoice receipt 01027,,49982.33,18,KA,KA,false,sales
2024-07-08,SAVINGS INTEREST CREDIT 0135,,1540.43,0,KA,KA,false,interest
2024-11-18,UPI DR Himalaya Foods Supply purchase payment 00445,83545.47,,18,TN,KA,true,purchase
2025-03-21,UPI DR Jai Stationers loan payment 01248,77093.53,,0,KA,KA,true,loan
2024-08-17,UPI DR Jai Stationers purchase payment 00738,28965.66,,0,TS,KA,true,purchase
2024-05-16,NEFT CR Kite Logistics invoice receipt 01248,,86841.45,18,MH,KA,false,sales
2024-11-12,UPI DR Mohan Industrial Gases utilities payment 00095,12122.67,,0,TN,KA,true,utilities
2024-07-24,NEFT CR QuickShop Chain invoice receipt 00311,,100237.64,18,TN,KA,false,sales
2024-08-24,UPI DR Omkar Repairs marketing payment 00917,51987.86,,0,TN,KA,true,marketing
2025-02-21,NEFT CR Orbit Fashion House invoice receipt 00022,,142736.07,18,KA,KA,false,sales
2024-05-05,SAVINGS INTEREST CREDIT 0042,,448.44,0,KA,KA,false,interest
2024-10-18,SAVINGS INTEREST CREDIT 0051,,834.93,0,KA,KA,false,interest
2024-09-24,SAVINGS INTEREST CREDIT 0095,,1416.2,0,KA,KA,false,interest
2024-09-12,NEFT CR Jupiter Foods invoice receipt 01005,,84940.19,18,TN,KA,false,sales
2024-08-28,UPI DR FirstFleet Logistics office expense payment 00891,16347.09,,18,KA,KA,true,office_expense
2024-11-08,NEFT CR Evergreen Stores invoice receipt 00975,,41769.34,18,GJ,KA,false,sales
2024-07-27,NEFT CR Sunrise Superstore invoice receipt 01225,,11184.2,18,TN,KA,false,sales
2024-09-20,UPI DR Nexa Facility Services purchase payment 00389,38394.33,,18,DL,KA,true,purchase
2024-07-21,UPI DR Mohan Industrial Gases purchase payment 01013,6497.91,,18,MH,KA,true,purchase
2024-11-02,UPI DR FirstFleet Logistics utilities payment 00856,84962.04,,0,KA,KA,true,utilities
2025-03-25,NEFT CR Sunrise Superstore invoice receipt 01292,,43615.88,0,TN,KA,false,sales
2025-01-14,UPI DR SmartCloud Software utilities payment 00895,34868.44,,0,GJ,KA,true,utilities
2024-12-29,NEFT CR Evergreen Stores invoice receipt 00239,,31726.99,0,TN,KA,false,sales
2025-02-06,SAVINGS INTEREST CREDIT 0204,,1761.5,0,KA,KA,false,interest
2024-08-17,NEFT CR Orbit Fashion House invoice receipt 01070,,28994.85,0,TS,KA,false,sales
2024-09-22,NEFT CR Nova Wellness invoice receipt 00323,,77732.76,18,TS,KA,false,sales
2024-08-03,UPI DR Eco Power Utilities software payment 00609,75155.86,,18,TN,KA,true,software
2024-10-12,UPI DR Eco Power Utilities marketing payment 00082,26936.38,,0,TN,KA,true,marketing
2024-04-08,SELF TRANSFER TO CASH MANAGEMENT 0223,23499.3,,0,KA,KA,false,transfer
2024-08-23,UPI DR Eco Power Utilities purchase payment 01191,31357.94,,18,TN,KA,true,purchase
2024-07-26,UPI DR Delta Office Systems purchase payment 01049,91658.15,,18,TS,KA,true,purchase
2024-12-18,SELF TRANSFER TO CASH MANAGEMENT 0095,3337.71,,0,KA,KA,false,transfer
2025-03-17,UPI DR Royal Insurance Brokers utilities payment 00572,58054.31,,0,GJ,KA,true,utilities
2024-08-02,UPI DR Omkar Repairs purchase payment 01137,63121.23,,18,GJ,KA,true,purchase
2024-04-27,UPI DR Jai Stationers purchase payment 01226,38379.74,,18,TN,KA,true,purchase
2024-08-19,UPI DR Eco Power Utilities marketing payment 00085,73728.4,,18,DL,KA,true,marketing
2025-03-24,NEFT CR Metro Hypermart invoice receipt 00573,,77458.51,0,KA,KA,false,sales
2024-12-17,UPI DR Insight Marketing LLP purchase payment 00247,44911.52,,18,TN,KA,true,purchase
2024-10-06,UPI DR Mohan Industrial Gases travel payment 00291,62636.04,,18,TS,KA,true,travel
2024-08-06,SELF TRANSFER TO CASH MANAGEMENT 0250,8966.72,,0,KA,KA,false,transfer
2024-09-25,NEFT CR Lotus Enterprises invoice receipt 00419,,91396.15,0,MH,KA,false,sales
2025-01-21,NEFT CR Riverfront Wholesale invoice receipt 00543,,135257.11,18,DL,KA,false,sales
2025-01-23,NEFT CR Jupiter Foods invoice receipt 00809,,145220.59,18,MH,KA,false,sales
2025-03-02,NEFT CR Horizon Pharma invoice receipt 01129,,149439.74,18,TN,KA,false,sales
2024-10-30,SAVINGS INTEREST CREDIT 0159,,1635.5,0,KA,KA,false,interest
2024-09-26,SAVINGS INTEREST CREDIT 0136,,986.48,0,KA,KA,false,interest
2024-12-24,SAVINGS INTEREST CREDIT 0226,,972.98,0,KA,KA,false,interest
2024-06-24,NEFT CR DigiServe Solutions invoice receipt 00093,,90297.85,18,GJ,KA,false,sales
2024-12-13,NEFT CR Nova Wellness invoice receipt 00749,,139620.73,0,KA,KA,false,sales
2025-02-12,NEFT CR QuickShop Chain invoice receipt 00657,,98050.51,0,TN,KA,false,sales
2024-06-14,UPI DR Mohan Industrial Gases purchase payment 00141,45739.15,,18,KA,KA,true,purchase
2024-11-16,UPI DR Nexa Facility Services rent payment 00014,37461.59,,0,TN,KA,false,rent
2025-03-06,NEFT CR Evergreen Stores invoice receipt 00223,,38603.46,18,TS,KA,false,sales
2025-01-21,NEFT CR Lotus Enterprises invoice receipt 00638,,18928.3,18,MH,KA,false,sales
2024-05-16,SAVINGS INTEREST CREDIT 0129,,1714.99,0,KA,KA,false,interest
2024-09-05,NEFT CR Indus Office Supplies invoice receipt 00465,,127689.45,18,TS,KA,false,sales
2025-03-15,NEFT CR Bluecart Traders invoice receipt 01311,,65167.03,0,GJ,KA,false,sales
2025-02-06,NEFT CR Indus Office Supplies invoice receipt 00651,,77055.24,18,DL,KA,false,sales
2024-05-23,NEFT CR Nova Wellness invoice receipt 00662,,48889.17,18,TS,KA,false,sales
2024-11-09,NEFT CR Acme Retail Pvt Ltd invoice receipt 01222,,71949.83,0,KA,KA,false,sales
2024-11-08,UPI DR LightSpeed Internet software payment 00219,65501.13,,18,KA,KA,true,software
2024-07-06,UPI DR Global Tech Tools purchase payment 00456,30840.19,,0,TS,KA,true,purchase
2024-06-23,NEFT CR CityMed Distributors invoice receipt 00185,,12570.02,0,MH,KA,false,sales
2024-11-10,UPI DR Omkar Repairs purchase payment 00703,46731.25,,18,GJ,KA,true,purchase
2024-07-13,UPI DR Global Tech Tools marketing payment 00816,4865.85,,18,KA,KA,true,marketing
2024-09-03,UPI DR Kuber Warehousing purchase payment 00725,85032.23,,0,KA,KA,true,purchase
2025-01-28,NEFT CR Kite Logistics invoice receipt 01236,,8595.9,18,TN,KA,false,sales
2024-06-18,SELF TRANSFER TO CASH MANAGEMENT 0099,16653.87,,0,KA,KA,false,transfer
2024-08-05,UPI DR Global Tech Tools loan payment 00313,78550.32,,0,MH,KA,false,loan
2025-01-19,UPI DR SmartCloud Software utilities payment 01112,34352.36,,0,GJ,KA,true,utilities
2024-12-19,NEFT CR Horizon Pharma invoice receipt 00228,,41990.16,0,MH,KA,false,sales
2024-05-30,UPI DR Global Tech Tools purchase payment 00787,24622.43,,18,TN,KA,true,purchase
2024-10-13,UPI DR Omkar Repairs loan payment 00970,49961.35,,0,KA,KA,false,loan
2024-10-11,SELF TRANSFER TO CASH MANAGEMENT 0233,11605.56,,0,KA,KA,false,transfer
2024-08-20,NEFT CR Indus Office Supplies invoice receipt 01021,,30869.69,18,MH,KA,false,sales
2024-04-03,NEFT CR DigiServe Solutions invoice receipt 00655,,124840.74,0,KA,KA,false,sales
2024-11-03,UPI DR LightSpeed Internet food payment 00279,12905.51,,18,KA,KA,false,food
2024-08-17,NEFT CR Growthline Agencies invoice receipt 00792,,110139.08,18,TN,KA,false,sales
2024-08-30,UPI DR Nexa Facility Services office expense payment 00080,60818.8,,18,GJ,KA,true,office_expense
2024-11-30,UPI DR Bharat Transport Co marketing payment 00259,55080.7,,0,MH,KA,true,marketing
2024-04-14,UPI DR Crystal Print House purchase payment 00370,42383.95,,18,MH,KA,true,purchase
2024-11-19,UPI DR Eco Power Utilities purchase payment 00887,60754.31,,18,DL,KA,true,purchase
2024-07-01,SELF TRANSFER TO CASH MANAGEMENT 0032,14403.43,,0,KA,KA,false,transfer
2025-02-15,NEFT CR Fresh Basket Mart invoice receipt 00688,,117228.75,18,TS,KA,false,sales
2024-10-27,UPI DR Delta Office Systems purchase payment 00185,3642.24,,18,TS,KA,true,purchase
2024-12-08,SAVINGS INTEREST CREDIT 0200,,399.06,0,KA,KA,false,interest
2024-09-25,NEFT CR Horizon Pharma invoice receipt 00300,,116841.18,0,KA,KA,false,sales
2024-06-17,SAVINGS INTEREST CREDIT 0162,,1687.98,0,KA,KA,false,interest
2024-12-20,UPI DR Apex Packaging Works purchase payment 00238,43599.79,,18,KA,KA,true,purchase
2025-03-11,UPI DR Bharat Transport Co purchase payment 00807,1538.04,,18,MH,KA,true,purchase
2024-08-18,NEFT CR QuickShop Chain invoice receipt 00050,,42884.03,18,TS,KA,false,sales
2025-01-25,UPI DR LightSpeed Internet travel payment 00574,21762.05,,0,KA,KA,true,travel
2024-05-07,NEFT CR Lotus Enterprises invoice receipt 00941,,125017.02,18,KA,KA,false,sales
2024-12-30,UPI DR TruEdge Consulting food payment 00776,90453.01,,18,DL,KA,false,food
2025-02-10,SELF TRANSFER TO CASH MANAGEMENT 0184,6221.19,,0,KA,KA,false,transfer
2024-10-10,NEFT CR Horizon Pharma invoice receipt 01252,,52055.28,18,TN,KA,false,sales
2024-12-02,UPI DR Delta Office Systems purchase payment 00508,39818.88,,0,KA,KA,true,purchase
2025-01-21,NEFT CR Prime Hardware invoice receipt 00296,,29058.12,18,TN,KA,false,sales
2025-02-12,UPI DR Pioneer Chemicals purchase payment 00888,82551.68,,0,GJ,KA,true,purchase
2024-12-09,SELF TRANSFER TO CASH MANAGEMENT 0174,19419.65,,0,KA,KA,false,transfer
2024-09-07,NEFT CR Riverfront Wholesale invoice receipt 00772,,65845.93,18,GJ,KA,false,sales
2024-04-07,NEFT CR Horizon Pharma invoice receipt 01344,,125716.28,18,TS,KA,false,sales
2024-04-19,NEFT CR QuickShop Chain invoice receipt 00450,,87635.8,0,GJ,KA,false,sales
2024-04-12,NEFT CR Indus Office Supplies invoice receipt 01254,,11753.97,18,KA,KA,false,sales
2024-04-18,UPI DR Eco Power Utilities food payment 00171,30191.42,,18,MH,KA,true,food
2024-09-19,UPI DR Royal Insurance Brokers marketing payment 00284,31195.59,,18,KA,KA,true,marketing
2025-02-17,SELF TRANSFER TO CASH MANAGEMENT 0054,7235.49,,0,KA,KA,false,transfer
2025-01-01,NEFT CR Riverfront Wholesale invoice receipt 00751,,135127.77,18,GJ,KA,false,sales
2024-12-19,NEFT CR Metro Hypermart invoice receipt 01074,,27814.54,0,TN,KA,false,sales
2024-10-21,UPI DR Delta Office Systems food payment 01194,91470.73,,18,MH,KA,false,food
2024-10-08,NEFT CR Nova Wellness invoice receipt 00387,,3746.59,0,DL,KA,false,sales
2024-10-06,NEFT CR DigiServe Solutions invoice receipt 00601,,69452.47,18,MH,KA,false,sales
2024-12-11,NEFT CR Fresh Basket Mart invoice receipt 00072,,30377.06,0,MH,KA,false,sales
2024-11-03,NEFT CR Acme Retail Pvt Ltd invoice receipt 00186,,79273.41,18,DL,KA,false,sales
2025-01-17,UPI DR Insight Marketing LLP marketing payment 00702,8266.12,,18,GJ,KA,true,marketing
2024-05-19,NEFT CR CityMed Distributors invoice receipt 00291,,104326.72,0,GJ,KA,false,sales
2024-09-18,UPI DR Global Tech Tools purchase payment 01277,77601.71,,18,MH,KA,true,purchase
2024-08-02,UPI DR Himalaya Foods Supply food payment 00808,50269.48,,18,GJ,KA,false,food
2024-04-18,UPI DR Insight Marketing LLP software payment 00411,56537.93,,0,GJ,KA,true,software
2024-09-19,UPI DR Delta Office Systems office expense payment 00502,60790.29,,18,GJ,KA,true,office_expense
2024-12-10,UPI DR Crystal Print House purchase payment 00872,86791.08,,18,MH,KA,true,purchase
2025-03-28,UPI DR SmartCloud Software marketing payment 00224,18700.85,,0,MH,KA,true,marketing
2025-01-11,NEFT CR Sunrise Superstore invoice receipt 00118,,95308.61,18,TN,KA,false,sales
2024-07-05,NEFT CR CityMed Distributors invoice receipt 00856,,124256.16,18,KA,KA,false,sales
2024-05-06,NEFT CR QuickShop Chain invoice receipt 01256,,91026.29,18,MH,KA,false,sales
2024-10-04,NEFT CR Horizon Pharma invoice receipt 00336,,68074.48,18,TS,KA,false,sales
2024-05-29,SELF TRANSFER TO CASH MANAGEMENT 0030,8646.12,,0,KA,KA,false,transfer
2024-12-18,NEFT CR Kite Logistics invoice receipt 00754,,94113.01,0,KA,KA,false,sales
2024-04-09,SAVINGS INTEREST CREDIT 0212,,866.77,0,KA,KA,false,interest
2024-04-03,UPI DR Pioneer Chemicals purchase payment 00021,88726.74,,18,GJ,KA,true,purchase
2024-12-14,UPI DR Apex Packaging Works travel payment 00825,73922.02,,0,GJ,KA,true,travel
2024-10-30,NEFT CR Riverfront Wholesale invoice receipt 00278,,27259.86,18,DL,KA,false,sales
2024-12-12,NEFT CR Jupiter Foods invoice receipt 00932,,12859.08,18,GJ,KA,false,sales
2024-04-27,UPI DR Crystal Print House marketing payment 01275,89672.69,,0,GJ,KA,true,marketing
2024-10-13,UPI DR FirstFleet Logistics food payment 00558,49105.72,,18,GJ,KA,true,food
2024-11-11,NEFT CR CityMed Distributors invoice receipt 01203,,54449.45,18,KA,KA,false,sales
2024-12-14,UPI DR Kuber Warehousing rent payment 00367,92746.94,,0,TS,KA,false,rent
2024-11-08,UPI DR Nexa Facility Services utilities payment 00753,65615.14,,18,MH,KA,true,utilities
2024-12-04,SELF TRANSFER TO CASH MANAGEMENT 0166,9761.24,,0,KA,KA,false,transfer
2024-05-22,NEFT CR Evergreen Stores invoice receipt 00825,,20828.66,0,DL,KA,false,sales
2024-11-30,SELF TRANSFER TO CASH MANAGEMENT 0061,4837.15,,0,KA,KA,false,transfer
2024-07-25,UPI DR Mohan Industrial Gases marketing payment 01058,16804.31,,18,TS,KA,true,marketing
2024-10-17,NEFT CR Sunrise Superstore invoice receipt 00577,,103819.46,0,MH,KA,false,sales
2024-05-19,NEFT CR CityMed Distributors invoice receipt 00304,,15053.64,18,DL,KA,false,sales
2024-12-30,SAVINGS INTEREST CREDIT 0167,,827.16,0,KA,KA,false,interest
2024-06-26,SELF TRANSFER TO CASH MANAGEMENT 0087,8950.07,,0,KA,KA,false,transfer
2024-10-16,SAVINGS INTEREST CREDIT 0232,,388.01,0,KA,KA,false,interest
2024-11-08,SAVINGS INTEREST CREDIT 0005,,1492.48,0,KA,KA,false,interest
2025-03-22,UPI DR Bharat Transport Co purchase payment 00209,93203.46,,0,DL,KA,true,purchase
2024-06-19,UPI DR FirstFleet Logistics food payment 00053,90424.0,,0,MH,KA,false,food
2025-03-03,NEFT CR Metro Hypermart invoice receipt 00752,,117492.36,0,KA,KA,false,sales
2024-05-05,NEFT CR Jupiter Foods invoice receipt 01213,,15462.26,0,MH,KA,false,sales
2024-11-03,UPI DR QuickFix Maintenance software payment 00472,88667.74,,18,GJ,KA,true,software
2024-08-16,NEFT CR CityMed Distributors invoice receipt 00918,,123709.59,0,TS,KA,false,sales
2024-07-17,NEFT CR Evergreen Stores invoice receipt 00732,,144508.85,18,TS,KA,false,sales
2024-06-06,NEFT CR Acme Retail Pvt Ltd invoice receipt 01135,,56067.96,18,MH,KA,false,sales
2025-02-21,SAVINGS INTEREST CREDIT 0203,,1741.43,0,KA,KA,false,interest
2025-02-11,NEFT CR Growthline Agencies invoice receipt 00674,,98816.48,18,TS,KA,false,sales
2024-11-10,UPI DR LightSpeed Internet food payment 00405,81086.64,,18,KA,KA,false,food
2024-07-05,NEFT CR Fresh Basket Mart invoice receipt 01019,,7938.68,0,TN,KA,false,sales
2024-12-08,NEFT CR Jupiter Foods invoice receipt 01391,,126332.04,0,GJ,KA,false,sales
2025-01-11,NEFT CR Horizon Pharma invoice receipt 01165,,49906.98,0,TS,KA,false,sales
2024-04-15,NEFT CR Bluecart Traders invoice receipt 01302,,120226.15,18,KA,KA,false,sales
2024-11-18,NEFT CR Fresh Basket Mart invoice receipt 00218,,18876.07,0,KA,KA,false,sales
2024-12-06,UPI DR TruEdge Consulting software payment 01227,55437.0,,0,MH,KA,true,software
2024-06-04,UPI DR Kuber Warehousing software payment 00173,78624.38,,18,TN,KA,true,software
2025-02-20,SAVINGS INTEREST CREDIT 0175,,919.91,0,KA,KA,false,interest
2024-10-12,UPI DR LightSpeed Internet purchase payment 00269,91226.04,,0,TN,KA,true,purchase
2025-02-08,NEFT CR Growthline Agencies invoice receipt 00590,,12052.55,18,DL,KA,false,sales
2025-02-21,NEFT CR CityMed Distributors invoice receipt 00985,,87103.28,18,DL,KA,false,sales
2024-04-28,UPI DR QuickFix Maintenance office expense payment 00475,43508.1,,0,MH,KA,true,office_expense
2025-02-18,SAVINGS INTEREST CREDIT 0006,,1211.67,0,KA,KA,false,interest
2024-10-26,NEFT CR Bluecart Traders invoice receipt 00188,,131837.09,0,TS,KA,false,sales
2024-04-27,NEFT CR Indus Office Supplies invoice receipt 00484,,118721.87,18,TN,KA,false,sales
2024-11-06,NEFT CR Riverfront Wholesale invoice receipt 01397,,21303.26,0,DL,KA,false,sales
2024-05-07,UPI DR SmartCloud Software office expense payment 00003,91813.79,,0,TN,KA,true,office_expense
2024-05-10,UPI DR Royal Insurance Brokers purchase payment 01270,60740.93,,0,TN,KA,true,purchase
2024-09-24,SELF TRANSFER TO CASH MANAGEMENT 0201,5902.23,,0,KA,KA,false,transfer
2024-10-02,NEFT CR DigiServe Solutions invoice receipt 00748,,89278.52,18,TS,KA,false,sales
2024-10-14,NEFT CR QuickShop Chain invoice receipt 00399,,21568.33,0,DL,KA,false,sales
2025-02-03,NEFT CR Growthline Agencies invoice receipt 01028,,30688.19,0,MH,KA,false,sales
2025-03-06,SAVINGS INTEREST CREDIT 0074,,537.98,0,KA,KA,false,interest
2024-04-07,NEFT CR Evergreen Stores invoice receipt 00668,,24690.07,0,TS,KA,false,sales
2024-08-26,UPI DR Crystal Print House purchase payment 01139,81763.74,,18,KA,KA,true,purchase
2024-10-14,UPI DR Omkar Repairs office expense payment 00611,12070.76,,18,TN,KA,true,office_expense
2024-04-11,UPI DR Mohan Industrial Gases office expense payment 00770,2527.75,,18,TN,KA,true,office_expense
2024-06-21,UPI DR Delta Office Systems purchase payment 00197,26125.14,,0,TN,KA,true,purchase
2024-10-20,NEFT CR Metro Hypermart invoice receipt 01211,,93829.31,0,TN,KA,false,sales
2024-09-29,SELF TRANSFER TO CASH MANAGEMENT 0024,23139.42,,0,KA,KA,false,transfer
2024-11-14,UPI DR Eco Power Utilities purchase payment 00641,71061.91,,0,TN,KA,true,purchase
2025-01-01,SELF TRANSFER TO CASH MANAGEMENT 0123,22222.77,,0,KA,KA,false,transfer
2025-01-11,UPI DR Delta Office Systems utilities payment 01160,35067.95,,0,TS,KA,true,utilities
2024-05-07,SELF TRANSFER TO CASH MANAGEMENT 0161,17060.61,,0,KA,KA,false,transfer
2024-11-24,SELF TRANSFER TO CASH MANAGEMENT 0082,13519.55,,0,KA,KA,false,transfer
2025-03-23,NEFT CR Jupiter Foods invoice receipt 00964,,55255.44,18,KA,KA,false,sales
