date,description,amount,gst_rate,vendor_state,business_state,amount_inclusive_gst,category
2025-03-13,SINV-03-00126 Riverfront Wholesale distribution lot,59442.49,5,TS,KA,true,sales
2024-08-07,SINV-08-00127 Orbit Fashion House bulk order,31746.82,18,TN,KA,true,sales
2025-01-18,SINV-01-00128 Lotus Enterprises distribution lot,146443.63,18,DL,KA,true,sales
2024-04-05,SINV-04-00129 Sunrise Superstore distribution lot,97843.17,18,DL,KA,false,sales
2024-07-27,SINV-07-00130 Trinity Healthcare bulk order,34607.11,18,TS,KA,true,sales
2024-05-20,SINV-05-00131 Bluecart Traders monthly supply,63280.94,12,DL,KA,true,sales
2024-09-15,SINV-09-00132 Nova Wellness project billing,19624.05,5,GJ,KA,true,sales
2024-08-18,SINV-08-00133 Fresh Basket Mart invoice settlement,115947.44,12,KA,KA,true,sales
2024-11-26,SINV-11-00134 CityMed Distributors distribution lot,120896.28,5,GJ,KA,false,sales
2024-10-05,SINV-10-00135 CityMed Distributors invoice settlement,4961.94,18,GJ,KA,true,sales
2024-10-13,SINV-10-00136 Lotus Enterprises project billing,32700.34,5,DL,KA,true,sales
2025-02-07,SINV-02-00137 Horizon Pharma distribution lot,94797.64,18,KA,KA,true,sales
2024-06-11,SINV-06-00138 Bluecart Traders distribution lot,46945.9,18,TN,KA,true,sales
2024-10-07,SINV-10-00139 Riverfront Wholesale monthly supply,110244.99,18,TN,KA,true,sales
2025-02-10,SINV-02-00140 Nova Wellness distribution lot,43386.44,18,MH,KA,true,sales
2024-10-03,SINV-10-00141 DigiServe Solutions monthly supply,47498.53,18,TN,KA,false,sales
2024-08-20,SINV-08-00142 Growthline Agencies project billing,118753.82,18,KA,KA,false,sales
2024-04-26,SINV-04-00143 Kite Logistics project billing,20076.76,12,MH,KA,true,sales
2024-07-29,SINV-07-00144 Kite Logistics bulk order,116948.45,18,MH,KA,true,sales
2025-01-02,SINV-01-00145 Indus Office Supplies invoice settlement,15965.98,18,MH,KA,false,sales
2025-01-27,SINV-01-00146 Kite Logistics monthly supply,35007.52,0,TS,KA,false,sales
2024-05-03,SINV-05-00147 Prime Hardware bulk order,55282.73,18,GJ,KA,true,sales
2024-04-23,SINV-04-00148 QuickShop Chain distribution lot,91066.34,12,TN,KA,true,sales
2025-03-18,SINV-03-00149 DigiServe Solutions monthly supply,134447.25,18,MH,KA,true,sales
2024-08-19,SINV-08-00150 Trinity Healthcare project billing,82214.92,18,DL,KA,true,sales
2024-11-19,SINV-11-00151 QuickShop Chain project billing,14649.36,18,TS,KA,false,sales
2024-07-20,SINV-07-00152 Nova Wellness distribution lot,35978.75,18,TS,KA,true,sales
2024-05-19,SINV-05-00153 Kite Logistics distribution lot,99091.34,18,KA,KA,true,sales
2024-05-17,SINV-05-00154 CityMed Distributors project billing,14329.14,5,KA,KA,false,sales
2025-01-26,SINV-01-00155 Riverfront Wholesale distribution lot,99800.42,18,TS,KA,true,sales
2024-04-27,SINV-04-00156 Jupiter Foods distribution lot,53780.46,18,MH,KA,true,sales
2024-05-26,SINV-05-00157 Lotus Enterprises distribution lot,47526.23,18,GJ,KA,false,sales
2025-02-13,SINV-02-00158 Trinity Healthcare invoice settlement,83426.73,18,KA,KA,true,sales
2024-07-02,SINV-07-00159 Indus Office Supplies project billing,47613.74,18,TS,KA,true,sales
2024-10-23,SINV-10-00160 CityMed Distributors bulk order,84066.75,5,TN,KA,true,sales
2024-11-01,SINV-11-00161 Orbit Fashion House project billing,47831.5,12,GJ,KA,false,sales
2024-05-14,SINV-05-00162 Bluecart Traders distribution lot,99664.31,5,TN,KA,true,professional_receipts
2025-02-05,SINV-02-00163 Orbit Fashion House monthly supply,34110.49,18,DL,KA,true,sales
2025-03-14,SINV-03-00164 Sunrise Superstore project billing,99384.01,18,KA,KA,true,sales
2024-04-04,SINV-04-00165 Growthline Agencies invoice settlement,31781.3,12,KA,KA,true,sales
2024-04-04,SINV-04-00166 Prime Hardware project billing,28346.68,18,GJ,KA,true,sales
2025-03-09,SINV-03-00167 Lotus Enterprises invoice settlement,108066.13,0,GJ,KA,false,sales
2024-11-06,SINV-11-00168 Sunrise Superstore invoice settlement,95482.48,18,MH,KA,true,sales
2025-02-11,SINV-02-00169 Orbit Fashion House bulk order,135902.72,18,TN,KA,true,sales
2025-01-27,SINV-01-00170 Metro Hypermart invoice settlement,60158.08,18,MH,KA,true,sales
2024-05-10,SINV-05-00171 QuickShop Chain invoice settlement,79648.93,18,TS,KA,true,sales
2025-02-25,SINV-02-00172 Evergreen Stores monthly supply,22892.15,12,MH,KA,true,sales
2025-02-16,SINV-02-00173 Prime Hardware project billing,84437.96,18,TS,KA,true,sales
2025-02-20,SINV-02-00174 Trinity Healthcare distribution lot,136017.5,12,TN,KA,true,sales
2025-02-18,SINV-02-00175 Jupiter Foods distribution lot,88439.73,18,KA,KA,true,professional_receipts
2024-04-30,SINV-04-00176 Lotus Enterprises project billing,11899.55,18,GJ,KA,false,sales
2024-12-16,SINV-12-00177 Metro Hypermart distribution lot,70403.76,18,GJ,KA,false,sales
2025-02-28,SINV-02-00178 Growthline Agencies invoice settlement,68056.3,12,TS,KA,true,sales
2024-05-14,SINV-05-00179 QuickShop Chain project billing,7294.91,18,GJ,KA,false,sales
2025-02-07,SINV-02-00180 Fresh Basket Mart project billing,128740.93,12,KA,KA,true,sales
2025-02-18,SINV-02-00181 Kite Logistics project billing,14076.98,0,MH,KA,false,sales
2024-09-18,SINV-09-00182 CityMed Distributors distribution lot,23393.47,18,MH,KA,true,sales
2025-01-30,SINV-01-00183 CityMed Distributors project billing,48643.21,12,KA,KA,false,sales
2025-02-25,SINV-02-00184 Nova Wellness invoice settlement,5585.22,18,TN,KA,true,sales
2024-07-08,SINV-07-00185 Horizon Pharma project billing,25347.32,18,GJ,KA,true,sales
2024-12-26,SINV-12-00186 Bluecart Traders bulk order,129632.58,18,MH,KA,true,sales
2024-07-02,SINV-07-00187 Trinity Healthcare bulk order,26878.69,18,TN,KA,true,sales
2025-02-07,SINV-02-00188 Jupiter Foods distribution lot,116248.34,18,MH,KA,true,sales
2024-10-06,SINV-10-00189 Sunrise Superstore project billing,69685.84,18,TN,KA,true,sales
2024-06-22,SINV-06-00190 Growthline Agencies invoice settlement,22955.51,18,GJ,KA,true,sales
2024-05-23,SINV-05-00191 QuickShop Chain project billing,37420.22,18,MH,KA,false,sales
2024-11-10,SINV-11-00192 CityMed Distributors monthly supply,35045.59,18,TN,KA,true,sales
2024-04-28,SINV-04-00193 Metro Hypermart monthly supply,31382.81,18,DL,KA,false,sales
2024-05-21,SINV-05-00194 Kite Logistics bulk order,22840.02,18,TS,KA,true,sales
2024-11-27,SINV-11-00195 Orbit Fashion House bulk order,133891.7,18,GJ,KA,true,sales
2025-02-06,SINV-02-00196 QuickShop Chain bulk order,115145.75,18,TN,KA,true,sales
2025-02-22,SINV-02-00197 Trinity Healthcare monthly supply,16080.09,18,TS,KA,false,sales
2024-12-20,SINV-12-00198 Sunrise Superstore bulk order,22498.74,12,GJ,KA,true,sales
2024-10-31,SINV-10-00199 Fresh Basket Mart distribution lot,12987.71,18,TN,KA,false,sales
2024-04-23,SINV-04-00200 Metro Hypermart invoice settlement,39615.15,18,MH,KA,true,sales
2025-03-03,SINV-03-00201 DigiServe Solutions bulk order,109221.28,18,TS,KA,true,professional_receipts
2024-11-24,SINV-11-00202 Prime Hardware distribution lot,120251.99,18,KA,KA,true,sales
2024-08-29,SINV-08-00203 Growthline Agencies project billing,26935.05,0,TN,KA,false,sales
2025-01-04,SINV-01-00204 Prime Hardware monthly supply,106151.51,12,TS,KA,true,sales
2024-09-17,SINV-09-00205 Indus Office Supplies distribution lot,47582.35,5,DL,KA,false,sales
2024-07-05,SINV-07-00206 Prime Hardware monthly supply,47500.0,18,TS,KA,false,sales
2024-11-04,SINV-11-00207 CityMed Distributors monthly supply,146791.44,18,KA,KA,true,sales
2024-09-15,SINV-09-00208 Jupiter Foods invoice settlement,85479.69,12,TN,KA,true,sales
2024-04-22,SINV-04-00209 Lotus Enterprises monthly supply,65820.65,18,KA,KA,true,sales
2025-03-10,SINV-03-00210 Metro Hypermart bulk order,112710.37,12,GJ,KA,true,sales
2025-03-14,SINV-03-00211 Orbit Fashion House distribution lot,10736.09,0,GJ,KA,false,sales
2024-04-17,SINV-04-00212 Trinity Healthcare monthly supply,60496.29,5,GJ,KA,true,sales
2024-06-10,SINV-06-00213 QuickShop Chain monthly supply,45933.68,12,TS,KA,true,sales
2024-07-05,SINV-07-00214 Prime Hardware distribution lot,135002.57,18,MH,KA,true,sales
2025-02-08,SINV-02-00215 Jupiter Foods monthly supply,147301.8,18,TN,KA,true,sales
2024-06-28,SINV-06-00216 Orbit Fashion House invoice settlement,101787.87,18,TS,KA,false,sales
2024-05-04,SINV-05-00217 Riverfront Wholesale bulk order,111688.13,18,DL,KA,false,sales
2024-12-17,SINV-12-00218 Horizon Pharma monthly supply,28476.1,5,DL,KA,true,sales
2025-01-09,SINV-01-00219 Sunrise Superstore monthly supply,113062.39,12,KA,KA,true,sales
2024-09-06,SINV-09-00220 Metro Hypermart project billing,106862.61,18,KA,KA,true,sales
2024-06-04,SINV-06-00221 Kite Logistics project billing,67993.81,18,TS,KA,true,sales
2025-01-26,SINV-01-00222 Fresh Basket Mart monthly supply,21601.71,18,GJ,KA,true,sales
2024-06-18,SINV-06-00223 Jupiter Foods project billing,42025.94,5,DL,KA,false,sales
2024-05-11,SINV-05-00224 Indus Office Supplies project billing,125635.73,5,GJ,KA,true,sales
2024-05-18,SINV-05-00225 QuickShop Chain project billing,88495.91,18,TS,KA,true,sales
2025-02-04,SINV-02-00226 Kite Logistics project billing,71543.21,18,DL,KA,false,sales
2025-02-28,SINV-02-00227 Growthline Agencies project billing,63167.62,18,DL,KA,true,sales
2025-02-23,SINV-02-00228 Jupiter Foods monthly supply,119267.67,18,TS,KA,true,sales
2024-05-01,SINV-05-00229 Fresh Basket Mart invoice settlement,72948.5,18,TS,KA,true,sales
2024-09-11,SINV-09-00230 Lotus Enterprises invoice settlement,21852.25,18,MH,KA,true,sales
2024-11-25,SINV-11-00231 DigiServe Solutions distribution lot,36814.47,12,GJ,KA,true,sales
2024-11-01,SINV-11-00232 Horizon Pharma invoice settlement,113033.08,18,MH,KA,false,sales
2024-06-21,SINV-06-00233 Prime Hardware monthly supply,59684.85,18,TN,KA,false,sales
2024-12-15,SINV-12-00234 Orbit Fashion House project billing,34049.13,18,TS,KA,true,professional_receipts
2025-03-11,SINV-03-00235 Prime Hardware invoice settlement,3921.94,12,TS,KA,true,sales
2024-10-05,SINV-10-00236 Metro Hypermart project billing,57759.8,12,DL,KA,true,sales
2024-05-08,SINV-05-00237 Metro Hypermart project billing,113444.61,18,KA,KA,true,sales
2024-06-05,SINV-06-00238 DigiServe Solutions bulk order,111859.9,12,MH,KA,true,sales
2025-02-03,SINV-02-00239 QuickShop Chain distribution lot,8768.85,18,GJ,KA,true,sales
2024-11-20,SINV-11-00240 Evergreen Stores bulk order,77466.35,18,TN,KA,true,sales
2025-02-10,SINV-02-00241 Jupiter Foods project billing,76282.38,18,DL,KA,true,sales
2024-11-30,SINV-11-00242 Acme Retail Pvt Ltd monthly supply,85041.28,12,GJ,KA,false,sales
2024-11-29,SINV-11-00243 Indus Office Supplies monthly supply,98405.74,18,GJ,KA,false,sales
2024-12-02,SINV-12-00244 Fresh Basket Mart bulk order,90844.9,18,KA,KA,false,sales
2025-01-19,SINV-01-00245 DigiServe Solutions bulk order,59353.59,5,TN,KA,true,sales
2024-12-13,SINV-12-00246 Trinity Healthcare project billing,109420.17,18,MH,KA,false,sales
2025-01-13,SINV-01-00247 Kite Logistics distribution lot,72098.53,18,GJ,KA,true,sales
2024-09-23,SINV-09-00248 Riverfront Wholesale invoice settlement,97068.75,12,GJ,KA,false,sales
2024-12-04,SINV-12-00249 Growthline Agencies invoice settlement,43280.37,18,DL,KA,true,sales
2025-03-27,SINV-03-00250 Growthline Agencies invoice settlement,73635.4,18,DL,KA,true,sales
2024-06-02,SINV-06-00251 Sunrise Superstore bulk order,49012.54,18,DL,KA,false,sales
2024-04-22,SINV-04-00252 Jupiter Foods distribution lot,12181.11,18,MH,KA,false,sales
2024-07-13,SINV-07-00253 Riverfront Wholesale bulk order,79908.87,12,KA,KA,true,sales
2025-03-09,SINV-03-00254 QuickShop Chain distribution lot,34745.18,12,KA,KA,true,sales
2025-03-15,SINV-03-00255 Evergreen Stores distribution lot,69918.19,0,TN,KA,false,sales
2025-02-28,SINV-02-00256 Growthline Agencies project billing,44471.27,18,MH,KA,true,sales
2024-12-30,SINV-12-00257 Bluecart Traders monthly supply,23945.43,18,TN,KA,false,sales
2024-12-10,SINV-12-00258 Fresh Basket Mart monthly supply,120361.09,18,DL,KA,false,sales
2025-01-16,SINV-01-00259 Trinity Healthcare project billing,129062.59,5,GJ,KA,true,sales
2024-12-09,SINV-12-00260 Evergreen Stores distribution lot,70602.4,18,TS,KA,true,sales
2024-08-10,SINV-08-00261 Fresh Basket Mart bulk order,43796.24,0,MH,KA,false,sales
2025-02-07,SINV-02-00262 Metro Hypermart bulk order,77433.82,18,MH,KA,true,sales
2024-12-01,SINV-12-00263 Kite Logistics invoice settlement,3937.29,18,DL,KA,true,sales
2024-09-02,SINV-09-00264 Sunrise Superstore monthly supply,4603.04,18,TS,KA,true,sales
2024-05-31,SINV-05-00265 Orbit Fashion House invoice settlement,58423.16,12,TS,KA,true,sales
2024-05-31,SINV-05-00266 Jupiter Foods distribution lot,29554.03,12,TS,KA,false,sales
2025-02-05,SINV-02-00267 Lotus Enterprises bulk order,82341.85,18,MH,KA,true,sales
2025-03-15,SINV-03-00268 Trinity Healthcare monthly supply,14784.35,18,GJ,KA,true,sales
2024-05-28,SINV-05-00269 Bluecart Traders bulk order,133462.48,18,DL,KA,true,sales
2024-12-23,SINV-12-00270 Orbit Fashion House monthly supply,29044.77,5,TN,KA,true,professional_receipts
2024-06-07,SINV-06-00271 QuickShop Chain invoice settlement,84463.36,18,TS,KA,true,sales
2024-04-12,SINV-04-00272 Metro Hypermart invoice settlement,3213.72,12,TS,KA,true,professional_receipts
2024-05-03,SINV-05-00273 Riverfront Wholesale monthly supply,138043.94,18,DL,KA,true,sales
2024-10-27,SINV-10-00274 Fresh Basket Mart distribution lot,96313.89,18,DL,KA,false,sales
2024-10-13,SINV-10-00275 Orbit Fashion House project billing,134023.21,18,MH,KA,true,sales
2025-03-01,SINV-03-00276 Lotus Enterprises bulk order,130329.92,5,KA,KA,true,sales
2024-04-12,SINV-04-00277 Jupiter Foods bulk order,106895.03,18,MH,KA,true,sales
2024-11-22,SINV-11-00278 Lotus Enterprises monthly supply,25588.86,5,TS,KA,false,sales
2024-11-01,SINV-11-00279 Trinity Healthcare monthly supply,130697.02,18,GJ,KA,true,sales
2024-04-18,SINV-04-00280 Orbit Fashion House distribution lot,104610.03,18,TN,KA,true,sales
2024-07-29,SINV-07-00281 Riverfront Wholesale invoice settlement,121303.79,12,MH,KA,true,sales
2025-01-20,SINV-01-00282 Kite Logistics bulk order,97135.93,18,TS,KA,false,sales
2024-12-23,SINV-12-00283 Horizon Pharma bulk order,42723.5,18,TS,KA,true,sales
2025-03-14,SINV-03-00284 Nova Wellness distribution lot,9727.1,18,GJ,KA,true,sales
2024-09-11,SINV-09-00285 Nova Wellness bulk order,46298.88,18,MH,KA,true,sales
2024-09-01,SINV-09-00286 Evergreen Stores project billing,135175.84,18,GJ,KA,true,sales
2024-06-08,SINV-06-00287 Metro Hypermart invoice settlement,30697.8,12,KA,KA,true,sales
2024-12-31,SINV-12-00288 Growthline Agencies bulk order,48703.08,0,GJ,KA,false,sales
